"No.","ClientID","Client Name","Place","Diff Pix","Monitor Date","Created Date"
"1","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:00:49","2016-06-09 19:22:57"
"2","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:01:49","2016-06-09 19:22:57"
"3","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:02:49","2016-06-09 19:22:57"
"4","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:03:49","2016-06-09 19:22:57"
"5","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:04:49","2016-06-09 19:22:57"
"6","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:05:49","2016-06-09 19:22:57"
"7","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:06:49","2016-06-09 19:22:57"
"8","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:07:49","2016-06-09 19:22:57"
"9","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:08:49","2016-06-09 19:22:57"
"10","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:09:49","2016-06-09 19:22:57"
"11","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:10:49","2016-06-09 19:22:57"
"12","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:11:49","2016-06-09 19:22:57"
"13","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:12:49","2016-06-09 19:22:57"
"14","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:13:49","2016-06-09 19:22:57"
"15","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:14:49","2016-06-09 19:22:57"
"16","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:15:49","2016-06-09 19:22:57"
"17","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:16:49","2016-06-09 19:22:57"
"18","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","1","2016-06-07 00:17:49","2016-06-09 19:22:57"
"19","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:18:49","2016-06-09 19:22:57"
"20","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:19:49","2016-06-09 19:22:58"
"21","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:20:49","2016-06-09 19:22:58"
"22","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:21:49","2016-06-09 19:22:58"
"23","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:22:49","2016-06-09 19:22:58"
"24","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:23:49","2016-06-09 19:22:58"
"25","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:24:49","2016-06-09 19:22:58"
"26","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:25:49","2016-06-09 19:22:58"
"27","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:26:49","2016-06-09 19:22:58"
"28","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:27:49","2016-06-09 19:22:58"
"29","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:28:49","2016-06-09 19:22:58"
"30","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","1","2016-06-07 00:29:49","2016-06-09 19:22:58"
"31","C-001","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 00:30:49","2016-06-09 19:22:58"
