"No.","ClientID","Client Name","Place","Diff Pix","Monitor Date","Created Date"
"1","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","13","2016-06-07 15:13:42","2016-06-09 19:24:18"
"2","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","13","2016-06-07 15:14:42","2016-06-09 19:24:18"
"3","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","11","2016-06-07 15:15:42","2016-06-09 19:24:18"
"4","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 15:16:42","2016-06-09 19:24:18"
"5","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:17:42","2016-06-09 19:24:18"
"6","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:18:42","2016-06-09 19:24:18"
"7","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","12","2016-06-07 15:19:42","2016-06-09 19:24:18"
"8","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:20:42","2016-06-09 19:24:18"
"9","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 15:21:42","2016-06-09 19:24:18"
"10","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","12","2016-06-07 15:22:42","2016-06-09 19:24:18"
"11","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","14","2016-06-07 15:23:42","2016-06-09 19:24:18"
"12","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","15","2016-06-07 15:24:42","2016-06-09 19:24:18"
"13","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","11","2016-06-07 15:25:42","2016-06-09 19:24:18"
"14","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","0","2016-06-07 15:26:42","2016-06-09 19:24:18"
"15","C-002","一般社団法人　葛西地震研究所","葛西観測所－Ａ","13","2016-06-07 15:27:42","2016-06-09 19:24:18"
